subset_name,fold,model_name,evaluation_view,metric_name,metric_value,summary_level
secondary_sty_flow_conversion,,kinetic_anchor,target_space,mae,0.002210304254919913,metric_mean
secondary_sty_flow_conversion,,kinetic_anchor,target_space,r2,0.8130216866983189,metric_mean
secondary_sty_flow_conversion,,kinetic_anchor,target_space,rmse,0.002780666495049089,metric_mean
secondary_sty_flow_conversion,,random_forest,conversion_space,mae,0.004275103991397121,metric_mean
secondary_sty_flow_conversion,,random_forest,conversion_space,r2,0.5534956183119202,metric_mean
secondary_sty_flow_conversion,,random_forest,conversion_space,rmse,0.004770118575891311,metric_mean
secondary_sty_flow_conversion,,random_forest,target_space,mae,0.004410925467121244,metric_mean
secondary_sty_flow_conversion,,random_forest,target_space,r2,0.5529560934926048,metric_mean
secondary_sty_flow_conversion,,random_forest,target_space,rmse,0.004926277057342094,metric_mean
secondary_sty_flow_conversion,,small_mlp,conversion_space,mae,0.09350003374769345,metric_mean
secondary_sty_flow_conversion,,small_mlp,conversion_space,r2,-333.01908072477846,metric_mean
secondary_sty_flow_conversion,,small_mlp,conversion_space,rmse,0.09731688161626477,metric_mean
secondary_sty_flow_conversion,,small_mlp,target_space,mae,0.12643034678533302,metric_mean
secondary_sty_flow_conversion,,small_mlp,target_space,r2,-458.4494265903073,metric_mean
secondary_sty_flow_conversion,,small_mlp,target_space,rmse,0.13416358588166793,metric_mean
primary_mma_flow_conversion,,kinetic_anchor,conversion_space,mae,0.000673673380973882,metric_std
primary_mma_flow_conversion,,kinetic_anchor,conversion_space,r2,0.011735433628041797,metric_std
primary_mma_flow_conversion,,kinetic_anchor,conversion_space,rmse,0.0007573677975728853,metric_std
primary_mma_flow_conversion,,kinetic_anchor,target_space,mae,0.000680160354450915,metric_std
primary_mma_flow_conversion,,kinetic_anchor,target_space,r2,0.011655939956298588,metric_std
primary_mma_flow_conversion,,kinetic_anchor,target_space,rmse,0.0007578513641155984,metric_std
primary_mma_flow_conversion,,random_forest,conversion_space,mae,0.0017895533617046037,metric_std
primary_mma_flow_conversion,,random_forest,conversion_space,r2,0.07074945428535669,metric_std
primary_mma_flow_conversion,,random_forest,conversion_space,rmse,0.0017449421073174026,metric_std
primary_mma_flow_conversion,,random_forest,target_space,mae,0.0019161722404022867,metric_std
primary_mma_flow_conversion,,random_forest,target_space,r2,0.0729936172808887,metric_std
primary_mma_flow_conversion,,random_forest,target_space,rmse,0.0019170343513102745,metric_std
primary_mma_flow_conversion,,small_mlp,conversion_space,mae,0.05571945259773463,metric_std
primary_mma_flow_conversion,,small_mlp,conversion_space,r2,33.86238625026438,metric_std
primary_mma_flow_conversion,,small_mlp,conversion_space,rmse,0.05294607171079769,metric_std
primary_mma_flow_conversion,,small_mlp,target_space,mae,0.047632077936021366,metric_std
primary_mma_flow_conversion,,small_mlp,target_space,r2,37.536112498367686,metric_std
primary_mma_flow_conversion,,small_mlp,target_space,rmse,0.04274883455961542,metric_std
secondary_sty_flow_conversion,,kinetic_anchor,conversion_space,mae,0.0005714546031745517,metric_std
secondary_sty_flow_conversion,,kinetic_anchor,conversion_space,r2,0.1650427883062589,metric_std
secondary_sty_flow_conversion,,kinetic_anchor,conversion_space,rmse,0.0007247270537813992,metric_std
secondary_sty_flow_conversion,,kinetic_anchor,target_space,mae,0.0005862832875008006,metric_std
secondary_sty_flow_conversion,,kinetic_anchor,target_space,r2,0.16566713258466492,metric_std
secondary_sty_flow_conversion,,kinetic_anchor,target_space,rmse,0.0007484439104200134,metric_std
secondary_sty_flow_conversion,,random_forest,conversion_space,mae,0.001523084613245402,metric_std
secondary_sty_flow_conversion,,random_forest,conversion_space,r2,0.08915138662008702,metric_std
secondary_sty_flow_conversion,,random_forest,conversion_space,rmse,0.0015161512118171878,metric_std
secondary_sty_flow_conversion,,random_forest,target_space,mae,0.0016104369756112986,metric_std
secondary_sty_flow_conversion,,random_forest,target_space,r2,0.08980023683505636,metric_std
secondary_sty_flow_conversion,,random_forest,target_space,rmse,0.0016145678864513215,metric_std
secondary_sty_flow_conversion,,small_mlp,conversion_space,mae,0.07556780111018177,metric_std
secondary_sty_flow_conversion,,small_mlp,conversion_space,r2,469.2476639372301,metric_std
secondary_sty_flow_conversion,,small_mlp,conversion_space,rmse,0.07645194704167645,metric_std
secondary_sty_flow_conversion,,small_mlp,target_space,mae,0.061619337798689354,metric_std
secondary_sty_flow_conversion,,small_mlp,target_space,r2,520.8690160613262,metric_std
secondary_sty_flow_conversion,,small_mlp,target_space,rmse,0.05982295002647429,metric_std
